id_mhs,list matkul,rekomendasi matkul
13510021,"IF4070-2013, IF4072-2013, KU2061-2013, TL4103-2013, IF4033-2013, IF4061-2013","IF4050-2013, IF4031-2013, IF2112-2013, KU4094-2013, AS2005-2013, IF4020-2013, IF4071-2013, IF4073-2013, DK4206-2013, BI2001-2013, KU4078-2013, DK3016-2013, DK3014-2013, IF4042-2013, KU4079-2013, TI3004-2013, KU4012-2013, KU2062-2013, IF4021-2013, IF4041-2013, KU4072-2013, IF4043-2013, IF4040-2013, KU4273-2013, TL2105-2013, TL4002-2013, IF3159-2019, IF4074-2019, BI2001-2019, IF4150-2019, IF4061-2019, IF4072-2019, IF4043-2019, IF4031-2019, IF4041-2019, IF4052-2019, IF4071-2019, IF4021-2019"
13510022,"IF4072-2013, IF4033-2013, IF4040-2013, IF4061-2013, KU4074-2013","AS2005-2013, IF4071-2013, IF4031-2013, KU2061-2013, DK3014-2013, KU4079-2013, KU2062-2013"
13510023,"IF4031-2013, IF4072-2013, KU4012-2013, IF4033-2013, MB4021-2013","IF4050-2013, IF2112-2013, KU2061-2013, AS2005-2013, IF4071-2013, TL4103-2013, IF4020-2013"
13510024,"IF4043-2013, IF4033-2013, IF4040-2013, MB4021-2013","IF4050-2013, KU4079-2013, DK3014-2013, AS2005-2013, KU4273-2013, IF4061-2013, KU4078-2013"
13510025,"IF4031-2013, IF4071-2013","IF4033-2013, AS2005-2013, DK3014-2013, IF4072-2013, KU4079-2013, IF4050-2013, KU2061-2013"
13510026,"IF4071-2013, IF4033-2013, IF4061-2013","IF4031-2013, KU4079-2013, IF4072-2013, KU4078-2013, AS2005-2013, DK3014-2013, IF4050-2013"
13510027,"IF4071-2013, TL4103-2013, IF4020-2013, IF4033-2013, IF4061-2013, IF4073-2013","DK4206-2013, IF4072-2013, KU2061-2013, IF4031-2013, KU4079-2013, AS2005-2013, KU4078-2013"
13510028,IF4072-2013,"IF4071-2013, AS2005-2013, DK4206-2013, KU4072-2013, IF4020-2013, TI3004-2013, KU4273-2013"
13510029,"IF4071-2013, KU4078-2013, TL4002-2013, IF4020-2013, IF4021-2013, IF4033-2013, IF4042-2013, KU4182-2013","DK3016-2013, DK3014-2013, IF2112-2013, AS2005-2013, IF4070-2013, IF4072-2013, KU4079-2013, IF4031-2013, KU2061-2013, IF4150-2019, IF4041-2019, IF4073-2013, IF4074-2019, IF4050-2013, IF4043-2013, IF4072-2019, TL4103-2013, IF4061-2013, KU4183-2013, KU4072-2013, TI3004-2013, IF4061-2019, KU2062-2013, IF4041-2013, KU4012-2013, KU4273-2013, BI2001-2013, DK4206-2013, IF4040-2013, TL2105-2013, KU2063-2013, KU4071-2013, KU2065-2013"
13510030,"IF4072-2013, IF5020-2013, IF5151-2013, IF5152-2013, IF5153-2013","IF4071-2013, AS2005-2013, DK4206-2013, KU4072-2013, IF4020-2013, TI3004-2013, KU4273-2013"
13510031,"IF4031-2013, IF4043-2013, IF4070-2013, KU2061-2013, KU4184-2013, IF4061-2013, IF4050-2013, TL4104-2013, TL3205-2013","IF4033-2013, IF2112-2013, KU4094-2013, AS2005-2013, IF4020-2013, KU4079-2013, DK3014-2013"
13510032,"KU4012-2013, TL4002-2013, IF4020-2013, IF4021-2013, IF4033-2013, IF4061-2013, DI4007-2013, KU4074-2013","IF4073-2013, KU2061-2013, DK3014-2013, IF2112-2013, IF4031-2013, AS2005-2013, BI2001-2013"
13510033,"IF4043-2013, KU4012-2013, KU4012-2013, KU4012-2013, KU4012-2013, TL4103-2013, IF4020-2013, IF4021-2013, IF4033-2013","IF4050-2013, KU4079-2013, DK3014-2013, AS2005-2013, KU4273-2013, IF4061-2013, IF4073-2013, KU2061-2013, KU4078-2013, IF4031-2013, IF4041-2013, BI2001-2013, IF4042-2013, IF2112-2013, DK3016-2013, IF4040-2013, IF4070-2013, IF4071-2013, IF4072-2013, KU2063-2013, KU4072-2013, KU2062-2013, TL4002-2013, TL2105-2013, KU4095-2013, TI3004-2013, KU4071-2013, KU4182-2013, DK4206-2013"
13510034,"IF4071-2013, IF4072-2013, IF4061-2013, MB4021-2013","AS2005-2013, KU2062-2013, KU4079-2013, DK3014-2013, KU2061-2013, DK4206-2013, IF4070-2013"
13510035,"IF4031-2013, IF4033-2013","IF4050-2013, IF2112-2013, KU2061-2013, IF4020-2013, KU4079-2013, IF4071-2013, AS2005-2013"
13510036,"EL3011-2013, II4033-2013, KU2061-2013, KU4078-2013, TL4103-2013, IF4020-2013, IF4033-2013, IF4042-2013, ME4034-2013","IF4021-2013, DK3016-2013, IF2112-2013, IF4071-2013, DK3014-2013, AS2005-2013, IF4070-2013"
