id_mhs,list matkul,rekomendasi matkul
13518013,"AS2005-2019, IF4071-2019, KU2061-2019, KU4080-2019, IF4042-2019, IF4061-2019","IF4072-2019, IF4074-2019, DK3014-2019, IF4041-2019, IF4073-2019, KU4078-2019, IF4150-2019, AS2005-2013, KU4183-2013, KU2061-2013, IF4051-2019, BI2001-2019, IF4031-2019, KU2062-2013, IF4020-2019, KU4072-2019, IF3159-2019, IF4043-2019, IF4044-2019, IF4021-2019, IF4052-2019, KU4273-2019, II4038-2019, IF4070-2019, KU4070-2019, KU4183-2019, KU4095-2019, IF4033-2019, KU4079-2019"
13518014,"BI2001-2019, IF4041-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4078-2019, KU4079-2019, IF4020-2019, IF4044-2019","IF3159-2019, KU2061-2013, IF4043-2019, IF4071-2019, IF4061-2019, IF4042-2019, KU4183-2019"
13518015,"AS2005-2019, DK3014-2019, DK3016-2019, IF4043-2019, IF4071-2019, IF4072-2019, KU2061-2019, KU4190-2019, IF4021-2019, IF4061-2019, MA2252-2019","IF4074-2019, IF4042-2019, IF3159-2019, KU2061-2013, IF4041-2019, IF4073-2019, KU4078-2019"
13518016,"AS2005-2019, IF4040-2019, IF4041-2019, IF4071-2019, IF4073-2019, IF4074-2019, KU2061-2019, KU4094-2019, KU4184-2019, IF4020-2019, IF4021-2019, IF4033-2019, SR4204-2019, IF4010-2019","IF4072-2019, KU4078-2019, IF3159-2019, IF4052-2019, II4032-2019, IF4031-2019, IF4150-2019, AS2005-2013, II4038-2019, IF4061-2019, KU2061-2013, IF4051-2019, BI2001-2019, KU4183-2013, IF4043-2019, KU4182-2013, DK3014-2013, IF4044-2019, DK3014-2019, KU4072-2019, KU4273-2019, KU2062-2013, IF4042-2019, KU4183-2019, IF4070-2019, KU4070-2019, KU4079-2019, KU4095-2019, BI2001-2013"
13518017,"IF4031-2019, KU2061-2019, KU4072-2019, KU4079-2019, KU4182-2019, TL2105-2019","IF4033-2019, II4032-2019, IF4052-2019, IF4150-2019, IF4051-2019, AS2005-2013, IF4020-2019"
13518018,"BI2001-2019, IF4031-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4072-2019, DK3210-2019, IF4020-2019, IF4042-2019, IF4010-2019","IF3159-2019, II4032-2019, II4038-2019, KU2061-2013, IF4043-2019, IF4061-2019, IF4052-2019"
13518019,"AS2005-2019, IF4071-2019, IF4072-2019, IF4073-2019, KU2065-2019, KU4078-2019, DK4206-2019, IF4020-2019, DK4111-2019","IF4074-2019, KU2061-2019, IF4041-2019, IF4061-2019, IF3159-2019, IF4052-2019, IF4033-2019"
13518020,"AS2005-2019, DK3016-2019, IF4041-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4072-2019, KU4078-2019, IF4020-2019, IF4021-2019, IF4042-2019","IF4071-2019, IF3159-2019, KU4273-2019, IF4061-2019, BI2001-2019, IF4150-2019, AS2005-2013"
13518021,"IF4040-2019, IF4041-2019, IF4071-2019, KU2065-2019, KU4072-2019, KU4079-2019, IF4020-2019, IF4021-2019, IF4042-2019, IF4044-2019, KU4291-2019, OS3201-2019","IF4072-2019, KU2061-2019, IF4074-2019, KU4078-2019, IF4073-2019, IF3159-2019, IF4052-2019, IF4033-2019, IF4150-2019, AS2005-2013, IF4061-2019, BI2001-2019, KU4183-2019, KU2061-2013, II4038-2019, IF4031-2019, IF4051-2019, KU4183-2013, AS2005-2019, DK3014-2019, II4032-2019, KU2062-2013, IF4043-2019, IF4070-2019, KU4070-2019, KU4095-2019, KU4273-2019, BI2001-2013"
13518022,"IF4041-2019, IF4043-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4172-2019, KU4182-2019, KU4183-2019, KU4184-2019, IF4020-2019, IF4021-2019, TL2105-2019","IF3159-2019, IF4052-2019, KU2061-2013, BI2001-2019, IF4031-2019, IF4044-2019, IF4042-2019"
13518023,"BI2001-2019, DK3014-2019, IF4041-2019, IF4043-2019, IF4071-2019, IF4072-2019, KU4095-2019, KU4182-2019, KU4193-2019, IF4061-2019, KU2062-2019","IF3159-2019, IF4074-2019, KU2061-2013, IF4021-2019, KU4078-2019, KU2061-2019, IF4073-2019"
13518024,"AS2005-2019, IF4041-2019, IF4072-2019, KU2065-2019, KU4078-2019, KU4183-2019, IF4033-2019","IF3159-2019, IF4052-2019, KU2061-2013, IF4031-2019, IF4074-2019, BI2001-2019, IF4044-2019"
13518025,"AS2005-2019, KU2061-2019, KU4070-2019, KU4072-2019, DK4206-2019","IF4074-2019, IF3159-2019, IF4072-2019, IF4020-2019, IF4052-2019, BI2001-2019, IF4061-2019"
13518026,"IF5011-2013, IF5172-2013, IF5175-2013, BI2001-2019, DK3014-2019, IF4040-2019, KU2065-2019, KU4071-2019, KU4078-2019, IF4021-2019, KU4273-2019, IF5122-2013, IF6047-2013","IF3159-2019, IF4043-2019, IF4061-2019, IF4074-2019, IF4072-2019, IF4041-2019, IF4051-2019, IF4150-2019, KU4183-2019, KU2061-2013, IF4031-2019, IF4044-2019, IF4071-2019, AS2005-2019, KU2061-2019, KU4079-2019, IF4073-2019, KU4172-2019, IF4070-2019, AS2005-2013, KU4072-2019, IF4052-2019, KU2062-2019, II4032-2019, II4038-2019, KU4095-2019, IF4020-2019, IF4042-2019, KU4070-2019, IF4033-2019, KU2062-2013"
13518027,"AS2005-2019, IF4040-2019, IF4041-2019, IF4043-2019, IF4074-2019, KU2061-2019, TI3004-2019, DP4203-2019, IF4020-2019, IF4051-2019","IF4150-2019, IF4021-2019, AS2005-2013, IF4031-2019, IF4071-2019, IF4061-2019, DK3014-2019, IF4072-2019, IF3159-2019, IF4052-2019, IF4033-2019, KU2061-2013, KU4078-2019, KU4183-2013, BI2001-2019, KU4182-2013, II4038-2019, DK3014-2013, IF4044-2019, II4032-2019, KU4072-2019, KU4273-2019, KU4184-2013, IF4073-2019, KU2062-2013, IF4042-2019, IF4070-2019, KU4183-2019, KU4079-2019, KU4095-2019, BI2001-2013"
13518028,"AS2005-2019, KU2061-2019, KU4184-2019, MB4044-2019","IF3159-2019, IF4061-2019, IF4072-2019, IF4074-2019, BI2001-2019, KU4273-2019, KU4072-2019"
13518029,"BI2001-2019, IF4043-2019, IF4071-2019, IF4074-2019, KU2063-2019, KU4291-2019, KU4294-2019","IF3159-2019, IF4061-2019, KU2061-2013, DK3014-2019, IF4072-2019, IF4041-2019, KU4183-2019"
13518030,"BI2001-2019, IF4031-2019, IF4043-2019, IF4072-2019, IF4073-2019, IF4074-2019, KU2061-2019, KU4072-2019, KU4183-2019, IF4021-2019, IF4042-2019","IF3159-2019, KU2061-2013, IF4052-2019, II4032-2019, II4038-2019, IF4061-2019, DK3014-2019"
13518031,"AS2005-2019, IF4031-2019, IF4040-2019, IF4041-2019, IF4052-2019, II4032-2019, KU2061-2019, IF4021-2019, IF4033-2019, IF4044-2019, KU4273-2019","II4038-2019, IF3159-2019, BI2001-2019, IF4072-2019, IF4074-2019, IF4043-2019, IF4020-2019"
13518032,"AS2005-2019, DK3014-2019, IF4041-2019, IF4074-2019, IF4061-2019, II4062-2019, KU2062-2019","IF4072-2019, IF4043-2019, IF4071-2019, KU2061-2013, KU4078-2019, IF3159-2019, IF4150-2019"
13518033,"AS2005-2019, MA2011-2019, IF4033-2019, IF4042-2019, IF4051-2019, KU2062-2019","IF4150-2019, IF4021-2019, AS2005-2013, IF4031-2019, IF4074-2019, IF4072-2019, KU2061-2019"
13518034,"BI2001-2019, DK3014-2019, DK3016-2019, IF4043-2019, IF4072-2019, IF4074-2019, KU2063-2019, KU4079-2019, IF4020-2019, IF4021-2019, II4062-2019, KU4294-2019","IF3159-2019, IF4061-2019, KU2061-2013, IF4071-2019, IF4041-2019, KU4183-2019, KU4072-2019"
13518035,"BI2001-2019, IF4072-2019, KU4078-2019, KU4172-2019, KU2062-2019","IF3159-2019, IF4071-2019, IF4074-2019, IF4041-2019, IF4061-2019, KU2061-2013, IF4043-2019"
13518036,"BI2001-2019, IF4041-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4078-2019, IF4020-2019, IF4044-2019, IF4061-2019, TF4088-2019","IF3159-2019, IF4043-2019, KU2061-2013, DK3014-2019, IF4021-2019, IF4042-2019, KU4183-2019"
13518037,"IF5175-2013, BI2001-2019, IF4041-2019, IF4043-2019, IF4072-2019, IF4074-2019, KU2065-2019, KU4078-2019, KU4094-2019, IF4021-2019, IF4033-2019, IF5123-2013, IF5124-2013, IF6080-2013","IF3159-2019, IF4061-2019, KU2061-2013, DK3014-2019, IF4071-2019, KU4183-2019, KU4072-2019"
13518038,"AS2005-2019, IF4074-2019, KU2061-2019, IF4021-2019, IF4042-2019, KU4281-2019, KU4291-2019, KU4294-2019","IF4072-2019, IF4041-2019, IF4071-2019, IF4051-2019, IF4150-2019, KU4183-2013, AS2005-2013"
13518039,"BI2001-2019, KU2063-2019, KU4079-2019, KU4291-2019","IF3159-2019, IF4061-2019, KU2061-2013, IF4043-2019, IF4074-2019, KU4183-2019, KU4078-2019"
13518040,"AS2005-2019, IF4031-2019, IF4041-2019, IF4072-2019, II4032-2019, KU2061-2019, IF4020-2019, IF4033-2019, IF4042-2019, IF4044-2019, KU4273-2019","IF3159-2019, II4038-2019, BI2001-2019, IF4052-2019, IF4074-2019, IF4043-2019, KU2061-2013"
13518041,"IF5031-2013, IF5172-2013, IF5135-2013, IF5175-2013, AS2005-2019, IF4031-2019, IF4041-2019, IF4043-2019, KU2061-2019, KU4071-2019, DP4203-2019, IF4020-2019, IF6046-2013, ME4045-2019","II4032-2019, IF3159-2019, II4038-2019, IF4052-2019, IF4033-2019, IF4150-2019, IF4051-2019, AS2005-2013, IF4074-2019, DK3014-2019, BI2001-2019, IF4072-2019, IF4040-2019, IF4021-2019, IF4071-2019, KU4072-2019, IF4061-2019, KU2062-2013, KU4184-2013, KU4078-2019, IF4044-2019, KU2061-2013, KU4273-2019, KU4183-2019, IF4042-2019, IF4073-2019, KU4183-2013, IF4070-2019, KU4079-2019, KU4095-2019, BI2001-2013"
13518042,"IF5141-2013, BI2001-2019, DK3014-2019, IF4041-2019, IF4071-2019, IF4072-2019, IF4074-2019, II4033-2019, KU2061-2019, KU4079-2019, IF4061-2019, IF5124-2013, IF6010-2013, II4062-2019, KU4273-2019, IF6080-2013","IF3159-2019, IF4043-2019, KU2061-2013, IF4021-2019, IF4042-2019, KU4078-2019, KU4183-2019"
13518043,"AS2005-2019, DK3014-2019, IF4043-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4072-2019, IF4061-2019, KU4273-2019, ME4022-2019","IF4042-2019, KU2061-2013, IF4041-2019, IF3159-2019, IF4150-2019, AS2005-2013, IF4073-2019"
13518044,"AS2005-2019, IF4043-2019, IF4073-2019, KU2061-2019, KU4078-2019, TI3004-2019, DP4203-2019, IF4042-2019, IF4061-2019, KR3242-2019","IF4072-2019, IF3159-2019, DK3014-2019, KU2061-2013, IF4074-2019, IF4071-2019, BI2001-2019"
13518045,"AS2005-2019, KU2062-2019","BI2001-2019, KU4078-2019, KU4072-2019, KU2061-2019, KU4095-2019, KU4273-2019, IF4020-2019"
13518046,"BI2001-2019, DK3016-2019, KU2061-2019, KU4071-2019, DP4203-2019, IF4061-2019","IF3159-2019, IF4074-2019, IF4043-2019, IF4072-2019, KU2061-2013, IF4021-2019, DK3014-2019"
13518047,"AS2005-2019, IF4041-2019, IF4043-2019, IF4071-2019, IF4074-2019, KU2061-2019, KU4072-2019, KU4078-2019, KU4079-2019, KU4095-2019, KU4193-2019, IF4020-2019","IF4072-2019, IF4061-2019, DK3014-2019, IF4073-2019, IF4150-2019, AS2005-2013, IF3159-2019"
13518048,"AS2005-2019, IF4073-2019, KU2061-2019, IF4033-2019, IF4051-2019","IF4150-2019, IF4021-2019, AS2005-2013, IF4031-2019, IF4074-2019, II4032-2019, IF4020-2019, IF4052-2019, IF3159-2019, II4038-2019, IF4071-2019, KU2061-2013, IF4072-2019, IF4044-2019, IF4041-2019, IF4061-2019, BI2001-2019, IF4043-2019, KU4273-2019, KU4072-2019, KU4078-2019, KU4095-2019, KU4079-2019"
13518049,"BI2001-2019, IF4041-2019, IF4072-2019, KU2063-2019, KU4078-2019, KU4079-2019, IF4033-2019","IF3159-2019, IF4071-2019, IF4074-2019, IF4061-2019, KU2061-2013, II4032-2019, IF4031-2019"
13518050,"AS2005-2019, IF4041-2019, IF4043-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4012-2019, DK4206-2019, IF4042-2019, IF4044-2019, IF4051-2019, KU4273-2019","IF4150-2019, IF4021-2019, AS2005-2013, IF4031-2019, IF4071-2019, IF4061-2019, DK3014-2019"
13518051,"BI2001-2019, IF4031-2019, IF4040-2019, IF4041-2019, IF4074-2019, II4032-2019, KU4078-2019, IF4021-2019, IF4033-2019, IF4051-2019, KU2062-2019","II4038-2019, IF3159-2019, IF4052-2019, IF4072-2019, IF4043-2019, IF4020-2019, KU2061-2013"
13518052,"AS2005-2019, IF4041-2019, IF4072-2019, IF4074-2019, KU4078-2019, KU4172-2019, KU2062-2019","IF4071-2019, KU4273-2019, IF4061-2019, BI2001-2019, IF4150-2019, AS2005-2013, DK3014-2013"
13518053,"AS2005-2019, DK3014-2019, IF4074-2019, KU2061-2019, KU4078-2019, TI3004-2019, IF4021-2019, IF4042-2019, II4034-2019, KU4294-2019, KR3242-2019","IF4061-2019, IF4072-2019, IF4043-2019, IF4041-2019, IF4071-2019, KU2061-2013, IF4051-2019"
13518054,"IF5010-2013, KU2061-2019, KU4079-2019, KU4172-2019, KU4182-2019, KU4183-2019, IF6010-2013, TL2105-2019, IF6080-2013, IF6082-2013","IF3159-2019, IF4052-2019, KU2061-2013, IF4031-2019, IF4074-2019, BI2001-2019, IF4044-2019"
13518055,"BI2001-2019, DK3016-2019, IF4043-2019, KU2061-2019, KU4078-2019, MK3011-2019","IF3159-2019, DK3014-2019, IF4061-2019, IF4074-2019, KU2061-2013, IF4072-2019, IF4041-2019"
13518056,"AS2005-2019, IF4041-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU2064-2019, KU4070-2019, KU4078-2019, IF4021-2019, IF4042-2019, IF4044-2019, IF4061-2019","DK3014-2019, KU2061-2019, KU2061-2013, IF4043-2019, IF4073-2019, IF4150-2019, AS2005-2013"
13518057,"AS2005-2019, IF4043-2019, IF4072-2019, KU2065-2019, KU4182-2019, KU4183-2019, IF4042-2019, KU4273-2019, KU4281-2019","IF3159-2019, IF4052-2019, KU2061-2013, IF4031-2019, IF4074-2019, BI2001-2019, IF4044-2019"
13518058,"AS2005-2019, KU2061-2019, KU4072-2019, KU4184-2019, IF4061-2019","IF3159-2019, IF4074-2019, KU4078-2019, KU2061-2013, DK3014-2019, BI2001-2019, IF4043-2019"
13518059,"BI2001-2019, DK3014-2019, DK3016-2019, IF4043-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU2061-2019, IF4020-2019, IF4061-2019, KU4294-2019, KR3242-2019","IF3159-2019, KU2061-2013, IF4041-2019, IF4021-2019, IF4042-2019, KU4183-2019, KU4072-2019"
13518060,"BI2001-2019, KU2065-2019, KU4172-2019, KU4273-2019","KU4095-2019, IF3159-2019, IF4061-2019, KU2061-2013, IF4043-2019, IF4074-2019, KU4183-2019"
13518061,"AS2005-2019, KU2061-2019, KU4071-2019, PL4001-2019, IF4042-2019, IF4044-2019, II4062-2019, KR3242-2019","IF4072-2019, KU4183-2019, KU2061-2013, IF3159-2019, IF4031-2019, IF4040-2019, IF4041-2019"
13518062,"BI2001-2019, DK3014-2019, KU2061-2019, KU4078-2019, IF4061-2019, II4062-2019, ME4045-2019","IF3159-2019, IF4074-2019, IF4043-2019, IF4072-2019, KU2061-2013, IF4021-2019, KU4183-2019"
13518063,"BI2001-2019, IF4043-2019, KU2061-2019, KU4172-2019, IF4061-2019, KU4273-2019","IF3159-2019, IF4074-2019, IF4072-2019, DK3014-2019, KU2061-2013, IF4021-2019, KU4183-2019"
13518064,"BI2001-2019, IF4041-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU2065-2019, KU4078-2019, KU4079-2019, IF4042-2019, KU4273-2019, ME4045-2019, MB4044-2019","IF3159-2019, KU2061-2013, IF4043-2019, IF4061-2019, KU2061-2019, KU4183-2019, KU4072-2019"
13518065,"BI2001-2019, DK3014-2019, DK3016-2019, KU2061-2019, KU4078-2019, KU4182-2019, IF4061-2019, KU4291-2019","IF3159-2019, IF4074-2019, IF4043-2019, IF4072-2019, KU2061-2013, IF4021-2019, KU4183-2019"
13518066,"AS2005-2019, DK3014-2019, IF4071-2019, IF4074-2019, KU2061-2019, KU4071-2019, KU4078-2019, KU4079-2019, IF4044-2019, IF4051-2019, IF4061-2019, II4034-2019","IF4072-2019, IF4043-2019, IF4150-2019, IF4021-2019, AS2005-2013, IF4031-2019, KU2061-2013"
13518067,"AS2005-2019, DK3014-2019, IF4041-2019, IF4043-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4193-2019, IF4044-2019, IF4061-2019","IF4071-2019, IF4042-2019, KU2061-2013, IF3159-2019, KU4273-2019, KU4078-2019, BI2001-2019"
13518068,"BI2001-2019, IF4041-2019, IF4071-2019, IF4072-2019, IF4074-2019, II4033-2019, KU2061-2019, KU4080-2019, IF4042-2019, IF4061-2019, MB4044-2019","IF3159-2019, IF4043-2019, KU2061-2013, DK3014-2019, IF4021-2019, KU4078-2019, KU4183-2019"
13518069,"AS2005-2019, DK3014-2019, IF4031-2019, IF4072-2019, KU2061-2019, KU4078-2019, KU4079-2019, IF4021-2019","IF4061-2019, IF4074-2019, IF4043-2019, IF4042-2019, IF4033-2019, II4032-2019, IF4051-2019"
13518070,"AS2005-2019, IF4031-2019, II4032-2019, II4033-2019, KU2061-2019, KU4078-2019, KU4183-2019, IF4020-2019, IF4033-2019, IF4061-2019, MB4044-2019","IF3159-2019, BI2001-2019, II4038-2019, IF4052-2019, IF4072-2019, IF4074-2019, IF4043-2019"
13518071,"AS2005-2019, KU2061-2019, KU4079-2019, KU4182-2019, IF4021-2019, KU4273-2019, MA2252-2019","IF4051-2019, IF4150-2019, IF4031-2019, IF4074-2019, BI2001-2019, KU4078-2019, IF4073-2019"
13518072,"AS2005-2019, IF4041-2019, IF4043-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4072-2019, KU4078-2019, KU4095-2019, KU4193-2019, IF4061-2019","DK3014-2019, IF4042-2019, KU2061-2013, IF3159-2019, IF4073-2019, IF4150-2019, AS2005-2013"
13518073,"AS2005-2019, DK3014-2019, KU2061-2019, KU4072-2019, KU4095-2019, KU4172-2019, KU4273-2019, MB4042-2019, MB4044-2019, KR3242-2019","IF4061-2019, IF4074-2019, IF4072-2019, IF4043-2019, IF4041-2019, IF4150-2019, KU2061-2013"
13518074,"IF5031-2013, AS2005-2019, DK3014-2019, IF4031-2019, IF4041-2019, IF4043-2019, IF4073-2019, KU2061-2019, KU4078-2019, KU4095-2019, IF4020-2019, KU4273-2019, ME4045-2019, MB4044-2019","II4032-2019, IF3159-2019, II4038-2019, IF4052-2019, IF4033-2019, IF4150-2019, IF4051-2019, AS2005-2013, IF4071-2019, KU2061-2013, IF4061-2019, IF4074-2019, IF4072-2019, BI2001-2019, IF4021-2019, IF4040-2019, KU4172-2019, KU4072-2019, KU2062-2013, KU4184-2013, IF4044-2019, KU4183-2019, IF4042-2019, KU4183-2013, IF4070-2019, KU2062-2019, KU4079-2019, BI2001-2013"
13518075,"BI2001-2019, IF4041-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU4078-2019, KU4183-2019, KU2062-2019","IF3159-2019, IF4052-2019, KU2061-2013, IF4031-2019, IF4043-2019, IF4061-2019, IF4044-2019"
13518076,"BI2001-2019, DK3016-2019, IF4041-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4078-2019, KU4079-2019, IF4020-2019, MB4044-2019","IF3159-2019, KU2061-2013, IF4043-2019, IF4061-2019, IF4042-2019, KU4183-2019, KU4072-2019"
13518077,"AS2005-2019, BI2001-2019, KU4095-2019, KU4183-2019, KU2062-2019, MA2252-2019","IF3159-2019, IF4052-2019, KU2061-2013, IF4031-2019, IF4074-2019, IF4044-2019, IF4061-2019"
13518078,"BI2001-2019, DK3014-2019, IF4072-2019, KU2063-2019, KU4072-2019, KU4078-2019, KU4079-2019, IF4033-2019","IF3159-2019, IF4071-2019, IF4043-2019, IF4074-2019, IF4041-2019, IF4061-2019, KU2061-2013"
13518079,"BI2001-2019, IF4072-2019, IF4074-2019, KU2065-2019, KU4078-2019, KU4183-2019, IF4033-2019","IF3159-2019, IF4052-2019, KU2061-2013, IF4031-2019, IF4043-2019, IF4071-2019, IF4061-2019"
13518080,"BI2001-2019, IF4031-2019, IF4041-2019, IF4071-2019, IF4073-2019, IF4074-2019, II4032-2019, KU4095-2019, IF4020-2019, IF4021-2019, IF4033-2019, IF4051-2019, KU2062-2019","II4038-2019, IF3159-2019, IF4052-2019, IF4072-2019, IF4043-2019, KU2061-2013, IF4061-2019"
13518081,"AS2005-2019, BI2001-2019, IF4031-2019, IF4041-2019, IF4043-2019, IF4072-2019, KU2061-2019, KU4071-2019, KU4072-2019, IF4021-2019, IF4042-2019, IF4044-2019","IF3159-2019, II4032-2019, II4038-2019, DK3014-2019, IF4071-2019, IF4061-2019, IF4074-2019"
13518082,"AS2005-2019, KU2063-2019, KU4071-2019, KU4078-2019, DP4203-2019, IF4033-2019, IF4042-2019, IF4044-2019, IF4051-2019, IF4061-2019","IF4150-2019, IF4021-2019, AS2005-2013, IF4031-2019, IF4074-2019, IF4072-2019, KU2061-2019"
13518083,"BI2001-2019, DK3016-2019, IF4043-2019, IF4074-2019, KU2061-2019, KU4078-2019, KU4094-2019, IF4020-2019, IF4051-2019, IF4061-2019, EL4126-2019","IF3159-2019, KU2061-2013, IF4072-2019, DK3014-2019, IF4150-2019, IF4021-2019, IF4071-2019"
13518084,"AS2005-2019, DK3014-2019, IF4041-2019, IF4043-2019, IF4071-2019, IF4072-2019, IF4074-2019, IF4061-2019, II4062-2019, KU2062-2019","KU4078-2019, KU2061-2013, KU2061-2019, IF3159-2019, IF4073-2019, IF4150-2019, AS2005-2013"
13518085,"IF5031-2013, IF5131-2013, IF5133-2013, IF5134-2013, IF5135-2013, IF5021-2013, AS2005-2019, IF4041-2019, IF4043-2019, IF4072-2019, KU2063-2019, KU4182-2019, IF4020-2019, IF4061-2019, KU4273-2019","IF4074-2019, DK3014-2019, IF4071-2019, IF3159-2019, KU2061-2013, BI2001-2019, IF4052-2019, IF4033-2019, II4038-2019, IF4044-2019, KU4078-2019, IF4040-2019, IF4150-2019, IF4031-2019, II4032-2019, KU2061-2019, AS2005-2013, KU4072-2019, KU2062-2013, KU4184-2013, KU4183-2013, IF4073-2019, IF4021-2019, IF4042-2019, KU4172-2019, IF4070-2019, KU4183-2019, KU4095-2019, IF4051-2019, KU4070-2019, KU4079-2019, BI2001-2013"
13518086,"BI2001-2019, KU2061-2019, KU4078-2019, IF4033-2019, KU4273-2019, MA2252-2019","II4032-2019, IF4031-2019, IF4020-2019, IF4052-2019, IF3159-2019, II4038-2019, IF4072-2019"
13518087,"AS2005-2019, IF4031-2019, IF4041-2019, IF4071-2019, IF4072-2019, IF4073-2019, IF4074-2019, KU2061-2019, KU4071-2019, KU4072-2019, KU4078-2019, IF4021-2019, IF4042-2019","IF4150-2019, IF3159-2019, IF4051-2019, IF4033-2019, II4032-2019, AS2005-2013, KU4273-2019"
13518088,"BI2001-2019, DK3014-2019, IF4031-2019, II4032-2019, II4033-2019, KU2061-2019, KU4078-2019, KU4094-2019, IF4020-2019, IF4033-2019, IF4061-2019","II4038-2019, IF3159-2019, IF4052-2019, IF4072-2019, IF4074-2019, IF4043-2019, KU2061-2013"
13518089,"AS2005-2019, IF4031-2019, IF4040-2019, IF4041-2019, IF4043-2019, IF4071-2019, KU2061-2019, KU4078-2019, KU4095-2019, KU4193-2019, IF4033-2019, IF4044-2019, KU4214-2019","II4032-2019, IF4074-2019, IF4072-2019, II4038-2019, IF3159-2019, IF4150-2019, KU2061-2013"
13518090,"BI2001-2019, IF4031-2019, IF4041-2019, IF4043-2019, KU2061-2019, KU4078-2019, KU4079-2019, IF4042-2019","IF3159-2019, II4032-2019, II4038-2019, DK3014-2019, IF4061-2019, IF4074-2019, KU2061-2013"
13518091,"AS2005-2019, DK3014-2019, IF4043-2019, KU4079-2019, KU2062-2019, KU4273-2019","IF4061-2019, IF4074-2019, IF4072-2019, IF4041-2019, IF4150-2019, KU2061-2013, BI2001-2019"
13518092,"BI2001-2019, IF4072-2019, KU2065-2019, KU4078-2019, KU4172-2019","IF3159-2019, IF4071-2019, IF4074-2019, IF4041-2019, IF4061-2019, KU2061-2013, IF4043-2019"
13518093,"BI2001-2019, DK3014-2019, DK3016-2019, IF4072-2019, KU2061-2019, KU4078-2019, KU4183-2019, IF4042-2019, IF4044-2019, IF4051-2019, IF4061-2019, II4062-2019, KU4273-2019","IF3159-2019, IF4052-2019, KU2061-2013, IF4074-2019, IF4043-2019, IF4031-2019, IF4071-2019"
13518094,"AS2005-2019, DK3014-2019, IF4040-2019, IF4043-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4072-2019, IF4042-2019, IF4044-2019, IF4061-2019","KU2061-2013, IF4041-2019, IF3159-2019, IF4150-2019, AS2005-2013, IF4073-2019, KU4078-2019"
13518095,"BI2001-2019, KU2061-2019, KU4078-2019, KU4079-2019","IF3159-2019, IF4061-2019, KU2061-2013, IF4043-2019, IF4074-2019, KU4183-2019, IF4072-2019"
13518096,"BI2001-2019, KU2061-2019, KU4071-2019, KU4078-2019, KU4079-2019, KU4172-2019, IF4042-2019","IF4072-2019, KU4095-2019, IF3159-2019, IF4061-2019, KU2061-2013, IF4043-2019, IF4074-2019"
13518097,"AS2005-2019, IF4043-2019, IF4071-2019, IF4072-2019, II4032-2019, KU4071-2019, TI3004-2019, IF4020-2019, IF4061-2019, II4051-2019, KU2062-2019, KU4273-2019","IF3159-2019, II4038-2019, IF4031-2019, BI2001-2019, IF4052-2019, IF4074-2019, DK3014-2019"
13518098,"BI2001-2019, IF4041-2019, IF4052-2019, IF4071-2019, IF4072-2019, IF4074-2019, KU2061-2019, KU4078-2019, IF4042-2019, IF4044-2019, IF4051-2019, KU4273-2019","IF3159-2019, II4032-2019, IF4031-2019, II4038-2019, KU4183-2019, IF4020-2019, IF4033-2019"
13518099,"AS2005-2019, IF4040-2019, IF4041-2019, IF4043-2019, IF4072-2019, IF4074-2019, KU4071-2019, IF4042-2019, IF4044-2019, KU2062-2019, KU4273-2019","KU2061-2019, IF4061-2019, DK3014-2019, IF4071-2019, BI2001-2019, IF4150-2019, AS2005-2013"
13518100,"AS2005-2019, DK3014-2019, IF4041-2019, IF4071-2019, IF4072-2019, IF4073-2019, IF4074-2019, KU2061-2019, KU4078-2019, KU4193-2019, IF4061-2019","IF4043-2019, IF4042-2019, KU2061-2013, IF4150-2019, AS2005-2013, KU4273-2019, BI2001-2019"
13518101,"BI2001-2019, IF4031-2019, IF4040-2019, IF4041-2019, KU2061-2019, KU4078-2019, IF4020-2019, IF4051-2019, KU4273-2019","IF3159-2019, II4032-2019, II4038-2019, IF4150-2019, IF4021-2019, AS2005-2013, IF4052-2019"
13518102,"BI2001-2019, KU2066-2019, KU4172-2019, MB4044-2019","KU4095-2019, IF3159-2019, IF4061-2019, KU2061-2013, IF4043-2019, IF4074-2019, KU4183-2019"
